country,group_0_1,group_1_5,group_6_9,group_10_14,group_15_19,group_0_19,group_20_29,group_30_39,group_40_49,group_50_59,group_60_69,group_70_79,group_80_89,group_90,date
Bulgaria,,,,,,2133,3362,4708,5279,5416,4348,2335,843,81,2020-10-17
Bulgaria,,,,,,2183,3442,4815,5386,5542,4423,2374,860,83,2020-10-18
Bulgaria,,,,,,2198,3499,4917,5466,5622,4459,2393,866,83,2020-10-19
Bulgaria,,,,,,2262,3600,5092,5669,5837,4633,2467,880,87,2020-10-20
Bulgaria,,,,,,2352,3791,5365,5953,6068,4781,2562,903,88,2020-10-21
Bulgaria,,,,,,2439,4006,5611,6261,6325,4971,2675,954,93,2020-10-22
Bulgaria,,,,,,2560,4231,5918,6565,6615,5185,2765,991,100,2020-10-23
Bulgaria,,,,,,2654,4411,6175,6963,6934,5414,2850,1011,107,2020-10-24
Bulgaria,,,,,,2713,4537,6420,7166,7100,5546,2932,1036,112,2020-10-25
Bulgaria,,,,,,2736,4645,6465,7208,7145,5590,2944,1044,112,2020-10-26
Bulgaria,,,,,,2853,4897,6931,7759,7563,5871,3063,1080,115,2020-10-27
Bulgaria,,,,,,2996,5245,7449,8363,8030,6199,3184,1116,119,2020-10-28
Bulgaria,,,,,,3136,5599,8026,8966,8565,6559,3332,1156,122,2020-10-29
Bulgaria,,,,,,3291,5908,8592,9572,9072,6907,3486,1197,125,2020-10-30
Bulgaria,,,,,,3483,6223,9132,10218,9635,7308,3665,1247,130,2020-10-31
Bulgaria,,,,,,3568,6418,9510,10614,9978,7548,3786,1290,132,2020-11-01
Bulgaria,,,,,,3619,6567,9771,10911,10225,7676,3858,1306,136,2020-11-02
Bulgaria,,,,,,3727,6836,10250,11459,10679,8028,4024,1355,138,2020-11-03
Bulgaria,,,,,,3882,7211,11053,12386,11513,8585,4301,1455,151,2020-11-04
Bulgaria,,,,,,4034,7620,11841,13307,12322,9188,4574,1548,157,2020-11-05
Bulgaria,,,,,,4196,8020,12568,14108,13074,9746,4842,1626,165,2020-11-06
Bulgaria,,,,,,4346,8397,13268,14900,13856,10364,5174,1704,175,2020-11-07
Bulgaria,,,,,,4436,8626,13696,15397,14284,10745,5351,1770,180,2020-11-08
Bulgaria,,,,,,4466,8698,13833,15531,14401,10853,5419,1778,181,2020-11-09
Bulgaria,,,,,,4583,9040,14553,16407,15195,11443,5703,1865,187,2020-11-10
